proc_keys,product_name
36200002506-raguoldworldstyletraditionalsauce24oz,"Ragu Old World Style Traditional Sauce, 24 oz."
36200002506-raguoldworldstyletraditionalsauce24oz,"Ragu Old World Style Traditional Sauce, 24 oz."
36200013694-raguclassicalfredosauce16oz,"Ragu Classic Alfredo Sauce, 16 oz."
78742351919-greatvaluedistilledwater1gallon,"Great Value Distilled Water, 1 Gallon"
78742351926-greatvaluepurifieddrinkingwater1gallon,"Great Value Purified Drinking Water, 1 Gallon"
78742351933-greatvaluespringwater1gal,"Great Value Spring Water, 1 gal"
27000442128-manwichoriginalsloppyjoesaucecannedsauce15oz,"Manwich Original Sloppy Joe Sauce, Canned Sauce, 15 OZ"
27000442128-manwichoriginalsloppyjoesaucecannedsauce15oz,"Manwich Original Sloppy Joe Sauce, Canned Sauce, 15 OZ"
16571910327-talkingrainbeverage933501917ozsparklingicekiwistrawberrycarbonatedwater,Talking Rain Beverage 9335019 17 oz Sparkling Ice Kiwi Strawberry Carbonated Water
9800895007-nutellachocolatehazelnutspreadperfecttoppingforpancakesgreatforholidayrecipes13ozpackagingmayvary,"Nutella Chocolate Hazelnut Spread, Perfect Topping for Pancakes, Great for Holiday Recipes, 13 oz (Packaging May Vary)"
78742017914-greatvalue100purepumpkin15oz,"Great Value 100% Pure Pumpkin, 15 oz"
39278322002-5packtigerbalmpainrelievingpatch,(5 Pack) Tiger Balm Pain Relieving Patch
41167053508-13ozgoldbonddiabeticsdryskinrelieflotion,13oz Gold Bond Diabetics' Dry Skin Relief Lotion
41167053508-13ozgoldbonddiabeticsdryskinrelieflotion,13oz Gold Bond Diabetics' Dry Skin Relief Lotion
78000152166-canadadrygingeralesoda12flozcans12pack,"Canada Dry Ginger Ale Soda, 12 fl oz cans, 12 pack"
78000152166-canadadrygingerale12floz12count,"Canada Dry Ginger Ale, 12 Fl Oz, 12 Count"
78000082166-drpeppersoda12flozcans12count,"Dr Pepper Soda, 12 Fl Oz Cans, 12 Count"
78000082166-drpeppersoda12flozcans12count,"Dr Pepper Soda, 12 Fl Oz Cans, 12 Count"
78000083163-dietdrpeppersoda12flozcans12pack,"Diet Dr Pepper Soda, 12 fl oz cans, 12 pack"
78000082463-drpeppersoda2lbottle,"Dr Pepper Soda, 2 L bottle"
78000083460-dietdrpeppersoda2lbottle,"Diet Dr Pepper Soda, 2 L bottle"
78000152463-canadadrygingeralesoda2lbottle,"Canada Dry Ginger Ale Soda, 2 L bottle"
78000000344-7uplemonlimesoda2lbottle,"7UP Lemon Lime Soda, 2 L bottle"
16571910327-sparklingice®naturallyflavoredsparklingwaterkiwistrawberry17floz,"Sparkling Ice® Naturally Flavored Sparkling Water, Kiwi Strawberry 17 Fl Oz"
16571910303-sparklingice®naturallyflavoredsparklingwaterblackraspberry17floz,"Sparkling Ice® Naturally Flavored Sparkling Water, Black Raspberry 17 Fl Oz"
33200011101-armhammerbakingsoda,Arm & Hammer Baking Soda
19800401092-dranomaxgelclogremover80oz,"Drano Max Gel Clog Remover, 80 oz"
33200011101-armhammerbakingsoda1lb,"Arm & Hammer Baking Soda, 1 lb."
44600015934-cloroxdisinfectingwipesbleachfreecleaningwipesfreshscent35ct,"Clorox Disinfecting Wipes, Bleach Free Cleaning Wipes - Fresh Scent, 35 ct"
48001213487-hellmannsrealmayonnaiserealmayoglutenfreemadewith100cagefreeeggs30oz,"Hellmann's Real Mayonnaise Real Mayo Gluten Free, Made With 100% Cage-Free Eggs 30 oz"
48001213487-hellmannsrealmayonnaiserealmayoglutenfreemadewith100cagefreeeggs30oz,"Hellmann's Real Mayonnaise Real Mayo Gluten Free, Made With 100% Cage-Free Eggs 30 oz"
13000004664-2packheinztomatoketchup38ozbottle,"(2 Pack) Heinz Tomato Ketchup, 38 oz Bottle"
13000004664-heinztomatoketchup38ozbottle,"Heinz Tomato Ketchup, 38 oz Bottle"
21000045129-velveetashellsandcheeseoriginalshellpastacheesesaucedinner3ctpack12ozboxes,"Velveeta Shells and Cheese Original Shell Pasta & Cheese Sauce Dinner, 3 ct Pack, 12 oz Boxes"
41000022869-knorrpastasidescheddarbroccolifusilli43oz,Knorr Pasta Sides Cheddar Broccoli Fusilli 4.3 oz
41000022531-knorrpastasidesalfredofettuccine44oz,Knorr Pasta Sides Alfredo Fettuccine 4.4 oz
41000022869-knorrpastasidescheddarbroccolifusilli43oz,Knorr Pasta Sides Cheddar Broccoli Fusilli 4.3 oz
41000022531-knorrpastasidesalfredofettuccine44oz,Knorr Pasta Sides Alfredo Fettuccine 4.4 oz
52100155203-mccormickmildchiliseasoningmixpacket125oz,"McCormick Mild Chili Seasoning Mix Packet, 1.25 oz"
43000034187-stovetopstuffingmixforturkey2ctpack6ozboxes,"Stove Top Stuffing Mix for Turkey, 2 ct Pack, 6 oz Boxes"
43000034187-stovetopstuffingmixforturkey2ctpack6ozboxes,"Stove Top Stuffing Mix for Turkey, 2 ct Pack, 6 oz Boxes"
43000955635-koolaidunsweetenedgrapeartificiallyflavoredpowdereddrinkmix014ozpacket,"Kool-Aid Unsweetened Grape Artificially Flavored Powdered Drink Mix, 0.14 oz. Packet"
78742114538-greatvaluerestaurantstylewhitecorntortillachips13oz,"Great Value Restaurant Style White Corn Tortilla Chips, 13 oz"
78742226835-greatvaluemountainlightningcitrussodapop2literbottle,"Great Value Mountain Lightning Citrus Soda Pop, 2 Liter, Bottle"
78742089621-clearamericanpineapplecoconutsparklingwater338flozbottle,"Clear American Pineapple Coconut Sparkling Water, 33.8 Fl Oz, Bottle"
78742271811-greatvalueslicedpotatoes1446oz,"Great Value Sliced Potatoes, 14.46 Oz"
78742271811-greatvalueslicedpotatoes1446oz,"Great Value Sliced Potatoes, 14.46 Oz"
605388187635-greatvaluecheesedipbreadstickssnacks1oz5count,"Great Value Cheese Dip & Breadsticks Snacks, 1 oz, 5 Count"
21000039340-tacobelloriginaltacoseasoningmix1ozpacket,"Taco Bell Original Taco Seasoning Mix, 1 oz Packet"
38000138416-pringlespotatocrispschipslunchsnackssnacksonthegooriginal52oz1can,"Pringles Potato Crisps Chips, Lunch Snacks, Snacks On The Go, Original, 5.2oz, 1 Can"
